HospitalID,HospitalName,HospitalType,Address,Region,Region_id,PhoneNumber,NumberOfBeds,NumberOfDepartments,Specialties,OperatingHours,EmergencyServices,Ratings,Accreditation,LastRenovationDate,Mandatory Health Insurance
127, Oguz Rayon Merkezi Xestexanasi ,Public," Oguz seheri, 5",Oghuz,74,+994 12 990 11 78,290,22,"Neurology, Dermatology",8:00 AM - 6:00 PM,Yes,4.4,Government Certified,2020,No
128, Yevlax Rayon Merkezi Xestexanasi ,Public," Yevlax seheri, Hezi Aslanov kuc.",Yevlakh,65,+994 12 287 11 33,272,7,"Surgery, Orthopedics, Internal Medicine",9:00 AM - 5:00 PM,Yes,4.2,National Accreditation,2018,No
129, Qax Rayon Merkezi Xestexanasi ,Public," Qax seheri, Heyder Eliyev prospekti",Gakh,72,+994 12 411 17 38,253,25,"Ophthalmology, Cardiology",24/7,No,3.3,National Accreditation,2021,No
130, Cebrayil Rayon Merkezi Xestexanasi ,Public," Cebrayil seheri, Merkezi kuce",Jabrayil,77,+994 12 405 67 99,453,11,"Surgery, Orthopedics, Internal Medicine",Emergency Only,No,4.2,ISO 9001 Certified,2018,No
131, Gedebey Rayon Merkezi Xestexanasi ,Public," Gedebey seheri, Merkezi kuce",Gadabay,45,+994 12 388 19 90,233,11,"Ophthalmology, Cardiology",24/7,Yes,4.5,ISO 9001 Certified,2022,No
132, Kurdemir Rayon Merkezi Xestexanasi ,Public," Kurdemir seheri, Heyder Eliyev kuc.",Kurdamir,63,+994 12 812 58 65,278,8,"Cardiology, Neurology, Pediatrics",24/7,No,3.9,ISO 9001 Certified,2018,No
133, Haciqabul Rayon Merkezi Xestexanasi ,Public," Haciqabul seheri, Qurtulus kuc.",Hajigabul,84,+994 12 128 26 61,67,24,"Cardiology, Orthopedics",24/7,Yes,4.1,Government Certified,2022,No
134, Sederek Tibb Merkezi ,Public," Sederek qesebesi, Merkezi kuce",Sadarak,18,+994 12 512 66 71,443,7,"Cardiology, Neurology, Pediatrics",8:00 AM - 6:00 PM,Yes,3.6,ISO 9001 Certified,2019,No
135, Ordubad Rayon Merkezi Xestexanasi ,Public," Ordubad seheri, Heyder Eliyev kuc.",Ordubad,17,+994 12 281 86 95,384,23,"Neurology, Dermatology",8:00 AM - 6:00 PM,Yes,3.6,National Accreditation,2021,No
136, Kengerli Rayon Merkezi Xestexanasi ,Public," Kengerli qesebesi, 12",Kangarli,16,+994 12 715 50 70,202,24,"Cardiology, Neurology, Pediatrics",24/7,No,3.6,Government Certified,2022,No
137, Naxcivan Merkezi Rayon Xestexanasi ,Public," Naxcivan seheri, Heyder Eliyev prospekti",Nakhchivan,13,+994 12 404 38 58,129,8,"Maternity, Pediatrics",9:00 AM - 5:00 PM,No,3.8,National Accreditation,2022,No
138, Sahbuz Rayon Merkezi Xestexanasi ,Public," Sahbuz seheri, Merkezi kuce",Shahbuz,19,+994 12 171 20 92,248,7,"Neurology, Dermatology",8:00 AM - 6:00 PM,Yes,3.2,National Accreditation,2018,No
139, Babek Rayon Merkezi Xestexanasi ,Public," Babek qesebesi, Heyder Eliyev kuc.",Babek,14,+994 12 474 79 96,415,7,"Ophthalmology, Cardiology",Emergency Only,Yes,4.3,National Accreditation,2020,No
140, Neftcala Rayon Merkezi Xestexanasi ,Public," Neftcala seheri, Merkezi kuce",Neftchala,85,+994 12 784 10 62,194,17,"Cardiology, Neurology, Pediatrics",Emergency Only,No,3.3,National Accreditation,2019,No
141, Salyan Rayon Merkezi Xestexanasi ,Public," Salyan seheri, Heyder Eliyev prospekti",Salyan,86,+994 12 509 85 47,301,14,"Maternity, Pediatrics",9:00 AM - 5:00 PM,Yes,3.6,Government Certified,2020,No
142, Celilabad Rayon Merkezi Xestexanasi ,Public," Celilabad seheri, Nizami kuc.",Jalilabad,55,+994 12 778 24 42,123,18,"Cardiology, Neurology, Pediatrics",24/7,No,5,National Accreditation,2021,No
143, Masalli Rayon Merkezi Xestexanasi ,Public," Masalli seheri, Heyder Eliyev kuc.",Masalli,58,+994 12 742 15 51,480,22,"Cardiology, Neurology, Pediatrics",8:00 AM - 6:00 PM,Yes,4,ISO 9001 Certified,2020,No
144, Bilesuvar Rayon Merkezi Xestexanasi ,Public," Bilesuvar seheri, Merkezi kuce",Bilasuvar,83,+994 12 436 70 22,286,9,"Urology, ENT, General Surgery",24/7,No,4.8,National Accreditation,2022,No
145, Yardimli Rayon Merkezi Xestexanasi ,Public," Yardimli seheri, Merkezi kuce",Yardimli,59,+994 12 786 46 30,422,16,"Surgery, Orthopedics, Internal Medicine",9:00 AM - 5:00 PM,Yes,3.2,Government Certified,2019,No
146, Lerik Rayon Merkezi Xestexanasi ,Public," Lerik seheri, Heyder Eliyev prospekti",Lerik,56,+994 12 765 68 85,52,9,"Urology, ENT, General Surgery",9:00 AM - 5:00 PM,Yes,4.5,National Accreditation,2022,No
147, Zerdab Rayon Merkezi Xestexanasi ,Public," Zerdab seheri, Merkezi kuce",Zardab,66,+994 12 175 85 18,142,12,"Oncology, Gynecology, Radiology",8:00 AM - 6:00 PM,Yes,4.4,National Accreditation,2019,No
148, Sabirabad Rayon Merkezi Xestexanasi ,Public," Sabirabad seheri, Semed Vurgun kuc.",Sabirabad,70,+994 12 109 23 68,136,21,"Neurology, Dermatology",Emergency Only,Yes,4.9,Government Certified,2019,No
149, Saatli Rayon Merkezi Xestexanasi ,Public," Saatli seheri, Heyder Eliyev kuc.",Saatli,69,+994 12 348 55 10,390,13,"Maternity, Pediatrics",9:00 AM - 5:00 PM,Yes,3.2,National Accreditation,2020,No
150, Semkir Rayon Merkezi Xestexanasi ,Public," Semkir seheri, Merkezi kuce",Shamkir,47,+994 12 546 69 82,128,21,"Oncology, Gynecology, Radiology",Emergency Only,Yes,3.2,ISO 9001 Certified,2018,No
